Facility.Name,Facility.City,Facility.Type,Rating.Overall,Rating.Mortality,Rating.Safety,Rating.Readmission,Rating.Experience,Rating.Effectiveness,Rating.Timeliness,Rating.Imaging,Procedure.Heart Attack.Cost,Procedure.Heart Attack.Quality,Procedure.Heart Attack.Value,Procedure.Heart Failure.Cost,Procedure.Heart Failure.Quality,Procedure.Heart Failure.Value,Procedure.Pneumonia.Cost,Procedure.Pneumonia.Quality,Procedure.Pneumonia.Value,Procedure.Hip Knee.Cost,Procedure.Hip Knee.Quality,Procedure.Hip Knee.Value
Hospital 173,Wickenburg,Private,-1,None,None,Same,Above,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,18943,Average,Average,0,Unknown,Unknown
Hospital 174,Benson,Private,4,None,None,Above,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,12167,Average,Lower,0,Unknown,Unknown
Hospital 175,Willcox,Government,-1,None,None,Same,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,17870,Average,Average,0,Unknown,Unknown
Hospital 176,Page,Government,-1,None,None,None,Same,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 177,Polacca,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 178,Parker,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 179,Sacaton,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 180,Ganado,Private,-1,None,None,None,None,None,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,12636,Average,Lower,0,Unknown,Unknown
Hospital 181,Winslow,Private,-1,None,None,Same,Same,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,12863,Average,Lower,0,Unknown,Unknown
Hospital 182,Bisbee,Private,3,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,15942,Average,Average,0,Unknown,Unknown
Hospital 183,Nogales,Proprietary,-1,None,None,None,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 184,Globe,Private,3,Same,None,Same,Same,Same,Same,Same,25331,Average,Average,15589,Average,Average,14815,Average,Lower,22668,Average,Average
Hospital 185,Springerville,Private,4,None,None,Same,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,14510,Average,Lower,0,Unknown,Unknown
Hospital 186,Parker,Private,2,Same,None,Below,Below,None,None,None,22009,Average,Average,14805,Average,Average,17492,Average,Average,21922,Average,Average
Hospital 187,Payson,Unknown,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 188,Phoenix,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 189,Mesa,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 190,Siloam Springs,Unknown,3,Same,Same,Same,Same,Same,Above,Same,0,Unknown,Unknown,15819,Average,Average,18940,Average,Average,23808,Average,Average
Hospital 191,Clarksville,Government,2,Same,Below,Same,Same,Same,Above,Same,0,Unknown,Unknown,14454,Average,Lower,14254,Average,Lower,24308,Average,Higher
Hospital 192,Fayetteville,Private,2,Below,Below,Above,Same,Same,Same,Below,23918,Average,Average,18251,Worse,Higher,18378,Worse,Average,19837,Better,Lower
Hospital 193,Little Rock,Private,1,Below,Below,Below,Below,Same,Below,Same,26033,Average,Higher,17916,Average,Higher,18833,Average,Higher,17565,Average,Lower
Hospital 194,Rogers,Church,4,Same,Above,Above,Same,Same,Same,Below,24212,Average,Average,17025,Average,Average,18870,Average,Higher,18954,Average,Lower
Hospital 195,Danville,Private,3,Same,None,Below,Above,Below,Above,None,22946,Average,Average,15741,Average,Average,15028,Average,Lower,0,Unknown,Unknown
Hospital 196,Searcy,Private,4,Below,Above,Above,Same,Same,Same,Same,21960,Average,Average,15913,Average,Average,17200,Average,Average,20455,Average,Lower
Hospital 197,Mena,Government,2,Below,None,Same,None,Same,Above,Same,0,Unknown,Unknown,16334,Worse,Average,16909,Average,Average,0,Unknown,Unknown
Hospital 198,Little Rock,Government,1,Same,Below,Below,Same,Same,Below,Above,23850,Average,Average,16244,Average,Average,18331,Average,Average,17093,Average,Lower
Hospital 199,Harrison,Unknown,3,Same,Same,Above,Same,Same,Same,Same,0,Unknown,Unknown,17221,Average,Average,16426,Average,Lower,21200,Average,Average
Hospital 200,Van Buren,Proprietary,3,None,None,Same,Same,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,15789,Average,Average,0,Unknown,Unknown
Hospital 201,Forrest City,Proprietary,2,Same,None,Below,Same,Same,Above,Same,0,Unknown,Unknown,15789,Average,Average,15693,Average,Lower,0,Unknown,Unknown
Hospital 202,Jonesboro,Private,2,Below,Above,Below,Above,Same,Same,Same,27055,Worse,Higher,18868,Worse,Higher,18648,Worse,Higher,21598,Average,Average
Hospital 203,Springdale,Proprietary,3,Below,Above,Above,Below,Above,Same,Same,25222,Average,Average,17113,Worse,Average,15918,Average,Lower,22873,Average,Average
Hospital 204,Hot Springs,Church,3,Same,Above,Below,Below,Same,Above,Below,20995,Average,Lower,15979,Average,Average,17338,Average,Average,21248,Average,Lower
Hospital 205,Mountain Home,Private,3,Below,Above,Below,Above,Same,Above,Below,25016,Average,Average,15552,Average,Lower,16649,Worse,Lower,21156,Average,Lower
Hospital 206,Conway,Private,3,Below,Above,Above,Above,Same,Above,Same,20100,Average,Lower,16641,Average,Average,17488,Worse,Average,23752,Average,Higher
Hospital 207,North Little Rock,Private,2,Below,Above,Below,Same,Below,Same,Above,24238,Average,Average,17778,Average,Average,17871,Worse,Average,20487,Average,Lower
Hospital 208,Paragould,Private,2,Same,Above,Below,Same,Same,Above,Same,23965,Worse,Average,16462,Worse,Average,17479,Average,Average,24892,Average,Higher
Hospital 209,Russellville,Proprietary,2,Same,Above,Below,Below,Same,Same,Same,23888,Average,Average,16985,Average,Average,18428,Average,Average,22587,Average,Average
Hospital 210,Pocahontas,Private,3,Same,None,Same,Same,Same,Above,Same,0,Unknown,Unknown,13602,Average,Lower,17444,Average,Average,0,Unknown,Unknown
Hospital 211,Camden,Private,3,Same,Above,Same,Same,Same,Above,None,0,Unknown,Unknown,16503,Average,Average,16063,Average,Average,23791,Average,Higher
Hospital 212,Monticello,Private,3,Same,None,Below,Same,Below,Above,Below,0,Unknown,Unknown,15648,Average,Average,16376,Average,Lower,0,Unknown,Unknown
Hospital 213,Fort Smith,Proprietary,1,Below,Below,Below,Below,Same,Same,Below,24876,Average,Average,17625,Worse,Higher,19571,Worse,Higher,22348,Average,Average
Hospital 214,Fort Smith,Private,3,Same,Above,Below,Above,Below,Same,Above,23545,Average,Average,18047,Average,Higher,19615,Average,Higher,23049,Average,Higher
Hospital 215,Magnolia,Government,2,Below,None,Below,Below,Same,Same,Same,0,Unknown,Unknown,15503,Average,Average,17974,Worse,Average,0,Unknown,Unknown
Hospital 216,Blytheville,Unknown,2,Same,None,Below,Below,Same,Same,Same,0,Unknown,Unknown,17066,Average,Average,15279,Average,Lower,0,Unknown,Unknown
Hospital 217,Pine Bluff,Private,1,Below,Below,Below,Below,Same,Same,Below,23425,Average,Average,16813,Average,Average,17721,Worse,Average,25184,Average,Higher
Hospital 218,Stuttgart,Private,3,Same,None,Below,Above,Same,Above,None,0,Unknown,Unknown,15932,Average,Average,15282,Average,Lower,0,Unknown,Unknown
Hospital 219,Jacksonville,Proprietary,1,Same,None,Below,Below,Same,Above,None,0,Unknown,Unknown,17316,Average,Average,18770,Average,Average,0,Unknown,Unknown
Hospital 220,Malvern,Private,4,Same,None,Below,Above,Same,Above,Same,0,Unknown,Unknown,16821,Average,Average,16639,Average,Average,0,Unknown,Unknown
Hospital 221,Hot Springs,Proprietary,1,Below,Below,Below,Below,Same,Same,Below,23826,Average,Average,17819,Average,Average,19665,Worse,Higher,25612,Average,Higher
Hospital 222,Benton,Proprietary,1,Same,Above,Below,Below,Below,Below,Same,23424,Average,Average,16113,Worse,Average,16240,Average,Lower,22834,Average,Average
Hospital 223,Helena,Proprietary,2,Same,None,Same,Same,Same,Above,None,0,Unknown,Unknown,14807,Average,Average,14914,Average,Lower,0,Unknown,Unknown
Hospital 224,El Dorado,Proprietary,2,Below,Below,Above,Same,Same,Above,Same,25385,Average,Average,16388,Average,Average,17224,Average,Average,25586,Average,Higher
Hospital 225,Little Rock,Private,1,Below,Above,Below,Below,Same,Same,Above,25112,Average,Average,17609,Average,Higher,17808,Worse,Average,18853,Average,Lower
Hospital 226,Jonesboro,Private,2,Same,Same,Below,Above,Below,Above,Below,23310,Average,Average,16511,Average,Average,18127,Average,Average,24114,Worse,Higher
Hospital 227,Batesville,Private,3,Same,Same,Above,Same,Same,Above,Above,25729,Average,Average,17069,Worse,Average,17858,Average,Average,17496,Average,Lower
Hospital 228,Hot Springs,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 229,Little Rock,Proprietary,5,Same,Above,Below,Above,Same,Above,Same,23490,Average,Average,16631,Average,Average,17004,Average,Average,0,Unknown,Unknown
Hospital 230,Sherwood,Church,3,Same,None,Same,Same,Same,Same,Same,26544,Average,Average,19006,Average,Higher,19738,Average,Higher,0,Unknown,Unknown
Hospital 231,No Little Rock,Proprietary,5,None,Above,None,Above,Same,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,20286,Better,Lower
Hospital 232,Fayetteville,Proprietary,-1,None,None,None,Above,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,22976,Average,Higher
Hospital 233,Hope,Proprietary,2,Same,None,Below,Below,Same,Above,Same,0,Unknown,Unknown,16351,Average,Average,17526,Average,Average,0,Unknown,Unknown
Hospital 234,Conway,Private,4,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,17861,Average,Average,16708,Average,Average,0,Unknown,Unknown
Hospital 235,Jonesboro,Proprietary,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 236,Paris,Church,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 237,Dardanelle,Proprietary,2,None,None,Below,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,19821,Average,Higher,0,Unknown,Unknown
Hospital 238,Ozark,Private,3,None,None,Same,None,Same,Same,None,0,Unknown,Unknown,16073,Unknown,Unknown,14220,Average,Lower,0,Unknown,Unknown
Hospital 239,Eureka Springs,Proprietary,3,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,18540,Average,Average,0,Unknown,Unknown
Hospital 240,Waldron,Private,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,19533,Average,Average,0,Unknown,Unknown
Hospital 241,Calico Rock,Private,-1,Same,None,Below,None,None,None,None,0,Unknown,Unknown,15215,Average,Average,11843,Average,Lower,0,Unknown,Unknown
Hospital 242,Wynne,Private,3,Same,None,Below,Above,Same,Same,Same,0,Unknown,Unknown,15231,Average,Average,14349,Average,Lower,0,Unknown,Unknown
Hospital 243,Mcgehee,Private,-1,None,None,None,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,15807,Average,Average,0,Unknown,Unknown
Hospital 244,Walnut Ridge,Government,2,Same,None,Below,None,Same,Above,Below,0,Unknown,Unknown,17309,Average,Average,16957,Average,Average,0,Unknown,Unknown
Hospital 245,Mountain View,Private,4,Same,None,Above,None,Same,Above,None,0,Unknown,Unknown,15810,Average,Average,15571,Average,Lower,18693,Average,Lower
Hospital 246,Nashville,Private,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,16430,Average,Average,17998,Average,Average,0,Unknown,Unknown
Hospital 247,Heber Springs,Private,4,Same,None,Above,Above,Same,Above,Same,0,Unknown,Unknown,17011,Average,Average,16520,Average,Average,19678,Average,Lower
Hospital 248,Clinton,Private,3,Same,None,Same,None,Same,Above,Same,0,Unknown,Unknown,14118,Average,Lower,16875,Average,Average,19299,Average,Lower
Hospital 249,De Witt,Private,3,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,14671,Average,Average,13368,Average,Lower,0,Unknown,Unknown
Hospital 250,Osceola,Government,4,Same,None,Above,None,Same,Same,None,0,Unknown,Unknown,17258,Average,Average,16929,Average,Average,0,Unknown,Unknown
Hospital 251,Fordyce,Government,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,15445,Average,Average,0,Unknown,Unknown
Hospital 252,Booneville,Private,-1,None,None,None,None,Same,Same,Same,0,Unknown,Unknown,0,Unknown,Unknown,21189,Average,Higher,0,Unknown,Unknown
Hospital 253,De Queen,Proprietary,-1,Same,None,Below,None,None,None,None,0,Unknown,Unknown,17094,Average,Average,16093,Average,Average,0,Unknown,Unknown
Hospital 254,Ashdown,Unknown,-1,None,None,None,None,Same,Same,None,0,Unknown,Unknown,0,Unknown,Unknown,17831,Average,Average,0,Unknown,Unknown
Hospital 255,Arkadelphia,Private,4,Same,None,Same,Above,Same,Above,Same,0,Unknown,Unknown,16031,Average,Average,15652,Worse,Lower,0,Unknown,Unknown
Hospital 256,Salem,Unknown,2,Same,None,Below,Same,Same,Above,None,0,Unknown,Unknown,17638,Average,Average,17000,Average,Average,0,Unknown,Unknown
Hospital 257,Crossett,Private,3,Same,None,Below,Above,Same,Above,Below,0,Unknown,Unknown,16511,Average,Average,18222,Average,Average,0,Unknown,Unknown
Hospital 258,Morrilton,Church,-1,Same,None,Above,None,None,None,None,0,Unknown,Unknown,15703,Average,Average,16632,Average,Average,0,Unknown,Unknown
Hospital 259,Dumas,Private,2,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,13964,Average,Lower,0,Unknown,Unknown
Hospital 260,Warren,Private,4,Same,None,Above,None,Below,Same,Same,0,Unknown,Unknown,15732,Average,Average,17110,Average,Average,0,Unknown,Unknown
Hospital 261,Lake Village,Private,2,Same,None,Same,None,Same,Above,None,0,Unknown,Unknown,19662,Average,Higher,17355,Average,Average,0,Unknown,Unknown
Hospital 262,Berryville,Church,2,Same,None,Below,None,Same,Same,None,0,Unknown,Unknown,15141,Average,Average,15343,Average,Lower,0,Unknown,Unknown
Hospital 263,Piggott,Government,-1,Same,None,Below,None,None,None,None,0,Unknown,Unknown,16977,Average,Average,18588,Average,Average,0,Unknown,Unknown
Hospital 264,Gravette,Proprietary,3,None,None,Same,None,Same,Above,None,0,Unknown,Unknown,0,Unknown,Unknown,20177,Average,Average,0,Unknown,Unknown
Hospital 265,Little Rock,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 266,Springdale,Private,-1,None,None,None,None,None,None,None,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown,0,Unknown,Unknown
Hospital 267,Hayward,Church,2,Same,Above,Below,Below,Same,Same,Same,27618,Average,Higher,16525,Average,Average,18907,Average,Higher,26462,Average,Higher
Hospital 268,Eureka,Private,2,Same,Below,Above,Below,Below,Below,Same,21152,Average,Lower,15369,Average,Lower,16981,Average,Average,18464,Average,Lower
Hospital 269,Burlingame,Private,5,Above,Above,Above,Above,Same,Same,Same,23897,Average,Average,17357,Better,Average,16021,Average,Lower,20339,Average,Lower
Hospital 270,San Francisco,Unknown,3,Same,Same,Above,Below,Same,Same,Same,0,Unknown,Unknown,16502,Average,Average,16903,Average,Average,0,Unknown,Unknown
Hospital 271,Napa,Church,3,Same,Above,Above,Below,Same,Below,Same,23484,Average,Average,16615,Average,Average,15553,Average,Lower,18451,Average,Lower
Hospital 272,Saint Helena,Private,3,Same,Above,Same,Same,Same,Same,Same,24816,Average,Average,17846,Average,Average,16818,Average,Average,16738,Better,Lower
Hospital 273,Jackson,Private,4,Same,Same,Above,Above,Same,Same,Same,0,Unknown,Unknown,16804,Average,Average,17942,Average,Average,19294,Average,Lower
Hospital 274,Sacramento,Church,3,Same,Below,Same,Above,Same,Below,Above,25177,Average,Average,16534,Average,Average,16936,Average,Average,21853,Average,Average
Hospital 275,Riverside,Proprietary,2,Same,Above,Below,Below,Same,Below,Same,26609,Average,Higher,17619,Average,Average,18315,Average,Average,23251,Average,Average
Hospital 276,National City,Proprietary,2,Same,Above,Above,Below,Same,Below,Same,25196,Average,Average,17182,Average,Average,22080,Average,Higher,26481,Average,Higher
Hospital 277,San Diego,Unknown,4,Above,Above,Below,Above,Same,Below,Same,25182,Average,Average,17122,Average,Average,18284,Better,Average,20308,Average,Lower
Hospital 278,La Mesa,Government,2,Below,Above,Below,Below,Same,Below,Same,26107,Average,Higher,16696,Average,Average,18044,Average,Average,18944,Average,Lower
Hospital 279,Arcata,Proprietary,3,Same,None,Above,Same,Same,Same,Same,0,Unknown,Unknown,14268,Average,Lower,15367,Average,Lower,0,Unknown,Unknown
Hospital 280,Oroville,Private,1,Above,Below,Below,Below,Below,Below,Below,23987,Average,Average,14587,Better,Lower,16816,Better,Average,23670,Average,Higher
Hospital 281,Bakersfield,Private,2,Below,Above,Below,Below,Same,Below,Same,22921,Average,Average,16443,Worse,Average,18768,Average,Average,18426,Average,Lower
Hospital 282,San Jose,Government,1,Same,Same,Below,Below,Same,Below,Below,24495,Average,Average,16383,Average,Average,18362,Worse,Average,0,Unknown,Unknown
Hospital 283,Chico,Private,4,Same,Above,Below,Above,Same,Same,Above,24569,Average,Average,15297,Average,Lower,16930,Average,Average,19781,Average,Lower
Hospital 284,Sylmar,Unknown,2,None,Below,Same,Same,Same,Below,None,0,Unknown,Unknown,13728,Average,Lower,16751,Average,Average,0,Unknown,Unknown
Hospital 285,Red Bluff,Church,3,Below,Above,Above,Same,Same,Same,Same,0,Unknown,Unknown,14646,Average,Lower,16467,Average,Average,19957,Average,Lower
Hospital 286,Oakland,Private,5,Above,Above,Above,Below,Same,Below,Same,22574,Average,Average,17246,Better,Average,19049,Average,Higher,22299,Average,Average
Hospital 287,El Centro,Government,2,Same,Same,Below,Below,Same,Below,Same,24176,Average,Average,17193,Average,Average,17718,Average,Average,18510,Average,Lower
Hospital 288,San Francisco,Private,4,Above,Below,Above,Below,Above,Below,Below,21972,Average,Average,15993,Average,Average,15249,Average,Lower,20661,Average,Lower
Hospital 289,Banning,Government,3,Same,Same,Same,Same,Same,Below,Same,24081,Average,Average,16770,Average,Average,19194,Average,Average,16779,Average,Lower
Hospital 290,San Francisco,Church,2,Same,Same,Below,Below,Same,Same,Same,0,Unknown,Unknown,15124,Average,Average,16247,Average,Average,19606,Average,Lower
Hospital 291,Lancaster,Government,1,Below,Below,Below,Below,Same,Below,Above,20574,Average,Lower,17905,Average,Average,19270,Worse,Higher,0,Unknown,Unknown
Hospital 292,Visalia,Government,3,Same,Above,Same,Below,Same,Below,Same,25480,Average,Higher,16277,Average,Average,16055,Average,Lower,18099,Average,Lower
